subject,text
Q.気持ちについてどう思う？,Q.気持ちについてどう思う？ A.ま、気持ちがこもってない時に主に言うね
Q.健一についてどう思う？,Q.健一についてどう思う？ A.わーなんか高田健一ももう1回真剣に動画上げてほしい
Q.方についてどう思う？,Q.方についてどう思う？ A.そういうのがいた方が楽しいじゃん
Q.動画についてどう思う？,Q.動画についてどう思う？ A.しかもあいつの動画が伸びる気がしねえなんか
Q.ビジョンについてどう思う？,Q.ビジョンについてどう思う？ A.あいつの動画伸びるビジョンが全然思い浮かばねえ
Q.高田についてどう思う？,Q.高田についてどう思う？ A.多分さ高田はもう気づいてると思うけど
Q.相方についてどう思う？,Q.相方についてどう思う？ A.なんか高田健一の元相方がなんか見つかったみたいな話してさあ
Q.相方についてどう思う？,Q.相方についてどう思う？ A.元相方がトグロ弟
Q.俺についてどう思う？,Q.俺についてどう思う？ A.俺は裏目しゆうすけ
Q.俺についてどう思う？,Q.俺についてどう思う？ A.で俺が言うんだよ高田健一を肩に抱いて
Q.意味についてどう思う？,Q.意味についてどう思う？ A.意味が全然わからないと思いますが
Q.意味についてどう思う？,Q.意味についてどう思う？ A.意味が全くわかんないでしょ
Q.時代についてどう思う？,Q.時代についてどう思う？ A.ネットで悪口言うだけで逮捕される時代が来る
Q.疲れについてどう思う？,Q.疲れについてどう思う？ A.疲れがピークだったんだよね
Q.それについてどう思う？,Q.それについてどう思う？ A.それがちょっとね
Q.放送についてどう思う？,Q.放送についてどう思う？ A.放送は正座してよ
Q.放送についてどう思う？,Q.放送についてどう思う？ A.俺の放送は正座してみてくれよ
Q.動画についてどう思う？,Q.動画についてどう思う？ A.それの動画は面白いって言ってたよ
Q.俺についてどう思う？,Q.俺についてどう思う？ A.俺もいつか見たいと思ってる
Q.知識についてどう思う？,Q.知識についてどう思う？ A.ちゃんと深く知識がないからさ
Q.知識についてどう思う？,Q.知識についてどう思う？ A.深く知識がないから
Q.あいつについてどう思う？,Q.あいつについてどう思う？ A.あいつは実況真剣に考える
Q.それについてどう思う？,Q.それについてどう思う？ A.別にそれは別に悪いことじゃないじゃん
Q.ゲームについてどう思う？,Q.ゲームについてどう思う？ A.実況者で一番ゲームが好きな人だよ
Q.ゲームについてどう思う？,Q.ゲームについてどう思う？ A.ゲームが好きな
Q.動画についてどう思う？,Q.動画についてどう思う？ A.でも動画も結構伸びてなかったっけ
Q.イメージについてどう思う？,Q.イメージについてどう思う？ A.再生数15万ぐらいいってるイメージがあるんだけど
Q.ことについてどう思う？,Q.ことについてどう思う？ A.公式に出ないってことはステータスでもなんでもないだろ
Q.実力についてどう思う？,Q.実力についてどう思う？ A.実力がねえから出れねえだけじゃねえかよ
Q.番組についてどう思う？,Q.番組についてどう思う？ A.面白い番組がねえから出ねえだけで
Q.高田についてどう思う？,Q.高田についてどう思う？ A.高田がふひきのこと褒めてる話してた
Q.放送についてどう思う？,Q.放送についてどう思う？ A.そもそもチャンネル放送は公式じゃないの
Q.俺についてどう思う？,Q.俺についてどう思う？ A.俺は公式だと思ってやってるけど
Q.信憑性についてどう思う？,Q.信憑性についてどう思う？ A.信憑性はないだろうけど
Q.私についてどう思う？,Q.私についてどう思う？ A.私はもう仕事だと思ってやってるんで
Q.本当についてどう思う？,Q.本当についてどう思う？ A.本当は言いたくもない悪口を言い
Q.俺についてどう思う？,Q.俺についてどう思う？ A.チャンネルって俺がやってるわけじゃないんだよ
Q.視聴者についてどう思う？,Q.視聴者についてどう思う？ A.俺の視聴者がなんか自分の
Q.橋についてどう思う？,Q.橋についてどう思う？ A.ねえ橋も橋じゃない
Q.枝についてどう思う？,Q.枝についてどう思う？ A.枝も枝もいいとこじゃない
Q.ほうについてどう思う？,Q.ほうについてどう思う？ A.かもしれないから消させたほうがいい
Q.俺についてどう思う？,Q.俺についてどう思う？ A.これから俺もyoutubeにチャンネル
Q.私についてどう思う？,Q.私についてどう思う？ A.私が正式にyoutubeにチャンネル持った
Q.著作権についてどう思う？,Q.著作権についてどう思う？ A.著作権も視聴していくんで
Q.あたりについてどう思う？,Q.あたりについてどう思う？ A.鍋ツネあたりが見てたらほんとに
