original,generated
Q.10月についてどう思う？ A.,Q.10月についてどう思う？ A.半端なくないハイビスカスが綺麗なので行くなら5月から10月に行くのがおすすめですおすすめです
Q.間配信についてどう思う？ A.,Q.間配信についてどう思う？ A.どっどきそれだけは触れちゃいけないお前起きてる間配信するって猛ゲーだったんだ
Q.ワンタッピーフォローについてどう思う？ A.,Q.ワンタッピーフォローについてどう思う？ A.ワンタッピーフォローされたけど返してないぞほらそういうのが出てくるじゃんえっ
Q.絶対無理についてどう思う？ A.,Q.絶対無理についてどう思う？ A.むず、むずかしいの?むずかしいの?むずかしいんだ2日で絶対無理?え、そのレベルなの?
Q.マジチュラウミ水族についてどう思う？ A.,Q.マジチュラウミ水族についてどう思う？ A.今10度くらいだから泳げないぞいや泳ぎたいわけじゃない俺マジチュラウミ水族館に行っちゃっただけなんだ
Q.領域についてどう思う？ A.,Q.領域についてどう思う？ A.でもその先はもう未知の領域だから、死者が出るマジで。
Q.金についてどう思う？ A.,Q.金についてどう思う？ A.なんかその、事務所に金取られることもねえだろうし。
Q.芸能についてどう思う？ A.,Q.芸能についてどう思う？ A.芸能人と繋がろうとしてたことなんてさ いいことじゃないの
Q.取り手についてどう思う？ A.,Q.取り手についてどう思う？ A.取り手にするにしてもさあれじゃない?
Q.7000についてどう思う？ A.,Q.7000についてどう思う？ A.7000枚7000枚7000枚とか出したんだよ
Q.最近収録ツイについてどう思う？ A.,Q.最近収録ツイについてどう思う？ A.最近収録ツイッチなの寂しい朝方もこうが視聴者と喧嘩してるの見るの嫌いじゃなかったけどなありがたき静かにそうそうそうあーもう知ってる人あんまりいないんだね
Q.真一についてどう思う？ A.,Q.真一についてどう思う？ A.ゴミまじで笑った寄生獣の真一みたいにでもこれもゴミじゃんものじゃんとさ嫌いな人は嫌いだよな
Q.パンサーラスターについてどう思う？ A.,Q.パンサーラスターについてどう思う？ A.4.4倍のパンサーラスターにかければ4.4倍のパンサーラスターにかけれませんでした
Q.設定についてどう思う？ A.,Q.設定についてどう思う？ A.この飲みキメラちゃんは、一応、体は男だけど、心は女の子っていう設定。かな。
Q.ゴミみーんなゴミについてどう思う？ A.,Q.ゴミみーんなゴミについてどう思う？ A.ユーチューバー育成学校なら先生になれる撮影していいんだったら俺講師として言われたいわローランドみたいに言いたいお前らねゴミみーんなゴミ黄色い服着てるやつ
Q.風俗一回数についてどう思う？ A.,Q.風俗一回数についてどう思う？ A.いやでもさぁまぁ俺もまぁこれで配信では言ってるけど結婚する前に比べたら風俗一回数とか激減してるのでだけどさあの時間マジで一番幸せじゃない?
