original,generated
Q.ダルビッシュについてどう思う？,Q.ダルビッシュについてどう思う？ A.ちょっと今年までエンゼルスにいてお願いマジ頼むマジ頼むよ無理かな東海岸行かないで欲しい遠いそんな先の登場決まってるいや1週間いればどこかしらにダルビッシュは登場するしダルビッシュの試合を優先的にチケット取って大谷はバッターでも出てくるからしかも残り5試合とか4試合とかの10月の1日とか2日でも終わるから一番ホームラン争い過強の時のバッターとして出てる大谷を見れるじゃんダルビッシュの対戦相手はヌートバーがいるのでゴールドシュミットもいるでしょしかいないっけ
Q.界隈についてどう思う？,Q.界隈についてどう思う？ A.豪漢界隈っていうグループと俺たち痴漢界隈が今縄張り争いしてるらしい俺たちの縄張りどこ何豪寒界隈ってとんでもない界隈じゃないそれどゆこと豪寒パウダーみたいな感じ
Q.浮気についてどう思う？,Q.浮気についてどう思う？ A.ちなみに俺浮気とかするけどあのー別にいいよなーなんて言ったこと一回もない完全にこっちが悪いことしてるから逆切れするって言ってるじゃん
Q.死についてどう思う？,Q.死についてどう思う？ A.死んでダソク死んで俺もうすぐじゃん出番すぐなんだけどキンバエお前の結婚する前日に親愛なる友みたいなタイトルでお前のことを言わせてあそうなんだありがとう死神の鎌がもう俺の首にこうやってなんかもう突きつけられてんだけどそんな突きつけられてんだ
Q.タバコについてどう思う？,Q.タバコについてどう思う？ A.すごいタバコのストックが4箱もある 幸せこんな幸せなことってあります
Q.声についてどう思う？,Q.声についてどう思う？ A.意外とで一日アイコスに100本ぐらい吸ってるからん一生吸ってるなと思わないよしお前のマイク声が入んないけどどれくらいするの あのさ大石さんに教えてもらったやつ
Q.バッターについてどう思う？,Q.バッターについてどう思う？ A.ただ今日もキレッキレ146キロのフォーク打てるバッターはこの世に存在しません
Q.人狼についてどう思う？,Q.人狼についてどう思う？ A.あんまりふざけんなよお前ら人狼が応援しろよ
Q.性格についてどう思う？,Q.性格についてどう思う？ A.性格褒められたら嬉しいけどね、同性からも異性からも嬉しいけどなぁ一番嬉しいよね、性格が性格が嬉しいけど金持ちだよねって褒められて嬉しくない?お前いくら稼いでる?
Q.VTuberについてどう思う？,Q.VTuberについてどう思う？ A.いまだに顔出しせず人気なのがすごいと思うすごいと思う頑張ってくれと思うおーてVTuberの事務所のオーディションはバイ率何万倍らしいおーてVTuberの事務所のオーディションはバイ率何万倍らしいんーえ、じゃあなんか俺もじゃあ俺がバーチャルYouTuber事務所を作ろうかな、じゃあ収益切
Q.無職についてどう思う？,Q.無職についてどう思う？ A.誰か無職必要な方いませんかこんなおもろいやつ落とすの俺うそもったいねえおもろい宝石箱じゃねえかよ
Q.加藤純一についてどう思う？,Q.加藤純一についてどう思う？ A.俺はーどうして買えないんだあの目黒記念の追撃
Q.スペインについてどう思う？,Q.スペインについてどう思う？ A.絶対スペイン倒すんタバスはドイツがコスタリカに勝つから 俺が4対0でスペインに勝ってもいいんだろうけ俺4体でスペインが出ばもういけるパワーシュートで l 1 r 1シュートだ
Q.造成についてどう思う？,Q.増税についてどう思う？ A.増税しました俺の いいね見てくんないツイッターの増税しますたんところ よくないあの顔悪い顔してんだろうあれ消えてるなんであれ俺いいね 消しちゃったのそんなことできる俺レジスタンスに消されたあー気持ちいいじゃあ俺がさーなんか作ろうか カトッターチャンスじゃねビジネスに言わせる ね
Q.人についてどう思う？,Q.人についてどう思う？ A.1年に1回産んでいったとして、53までの間に15人は欲しい。
Q.美容院についてどう思う？,Q.美容院についてどう思う？ A.商売したくねーけど唯一やりたいなって思ったのは5年ぐらい前から美容院はやりてーなってマジで思ってたんだよ
Q.ラーメンについてどう思う？,Q.ラーメンについてどう思う？ A.マジカレーとカレーでさぁ、まずいラーメンはある?
Q.もこうについてどう思う？,Q.もこうについてどう思う？ A.ついにあのもこうがオワコンの情報を見せてきてるぞあのもこうが!?
Q.日本についてどう思う？,Q.日本についてどう思う？ A.結局日本が一番いいっていうさ
Q.嫁についてどう思う？,Q.嫁についてどう思う？ A.4年前かな高校2年生だから俺が高2の時に朝パン食べて走ってたら角で今の嫁とバンとぶつかってなんだあいつ謝りもしなかったのね
Q.女性についてどう思う？,Q.女性についてどう思う？ A.無職歴13年の女性がいたのね
Q.日程についてどう思う？,Q.日程についてどう思う？ A.CRカップの日程が被って炎上しちゃったのラスが出るからってことCRバロとエーペックスのALGSなんで別にあれが違うじゃん開催元が違うじゃん時間も違いそうじゃない?
Q.メールについてどう思う？,Q.メールについてどう思う？ A.この辺のごめんちょっとさ人数の関係上さ人数の関係上ね選ばれメールが来たけどその人狼に参加できなかったみたいな人も出てくると思うんだけど許してえー
Q.無職についてどう思う？,Q.無職についてどう思う？ A.この中に無職が混じってます
Q.不倫についてどう思う？,Q.不倫についてどう思う？ A.愛がねーだろ不倫してもいいよ
Q.ラーメンについてどう思う？,Q.ラーメンについてどう思う？ A.まずいラーメンはあるわハンバーグとカレーでさぁ、まずーってのがなくない?
Q.今夜についてどう思う？,Q.今夜についてどう思う？ A.これは熱い夜になるよ
Q.ムラッシュゲーミングについてどう思う？,Q.ムラッシュゲーミングについてどう思う？ A.ムラッシュゲーミングって仮の名前で本当の名前モルモッターだよモルモッター整形もさせるエストニア人が何としてもムラッシュゲーミングに張り出して本当にビザの兼ね合いがクリアできるんだったらマジでいいんだけど本当にそこで揉めるマジで結局大会で出ないんだよね
Q.フォアボールについてどう思う？,Q.フォアボールについてどう思う？ A.調子悪いながらも調子悪いながらもそういいんだよ調子悪いながらもちゃんとフォアボールももらってるし打点もついてんだから最低限の仕事はしてんだから別にいいんですよ
Q.ハワイについてどう思う？,Q.ハワイについてどう思う？ A.俺もなんかさかけてこそこそハワイに移住しようとしてるのね
